Author	DOB	DOB_WIP	POB	POB_WIP	DOD	DOD_WIP	POD	POD_WIP	Link	identifier	givenName	familyName	alternateNames	occupation	birthPlace	birthPlace_WIP	birthDate	birthDate_WIP	deathPlace	deathPlace_WIP	deathDate	deathDate_WIP	gender	geb_plaats	geb_plaats_WIP	birthCountry	birthCountry_WIP	overl_plaats	overl_plaats_WIP	deathCountry	deathCountry_WIP	period	geboortedatum	geboortedatum_WIP	sterfdatum	sterfdatum_WIP	language	category	profession	organisation
L.J.M. Feber	24 april 1885	1885-04-24	Bergen op Zoom	Bergen op Zoom	3 juli 1964	1964-07-03	Den Haag	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=febe001	febe001	Louis Jean Marie	Feber	L.J.M. Feber	architect/bouwkundig ingenieur/journalist/bouwmeester/redacteur/militair/staatsman/bestuurder/politicus/officier	Bergen op Zoom	Bergen op Zoom	1885-04-24	1885-04-24	Den Haag	Den Haag	7/3/1964	1964-07-03	male	Bergen op Zoom	Bergen op Zoom			Den Haag	Den Haag			Twintigste Eeuw	24 april 1885	1885-04-24	3 juli 1964	1964-07-03	nl	jeugdliteratuur/suriname	architect/bouwkundig ingenieur/bouwmeester/journalist/redacteur/militair/staatsman/bestuurder/politicus/officier	
G.P.M. Knuvelder	25 januari 1902	1902-01-25	Arnhem	Arnhem	29 juni 1982	1982-06-29	Eindhoven	Eindhoven	https://www.dbnl.org/auteurs/auteur.php?id=knuv001	knuv001	Gerard	Knuvelder	G.P.M. Knuvelder	onderwijzer (basisschool)	Arnhem	Arnhem	1/25/1902	1902-01-25	Eindhoven	Eindhoven	6/29/1982	1982-06-29	male	Arnhem	Arnhem			Eindhoven	Eindhoven			Twintigste Eeuw	25 januari 1902	1902-01-25	29 juni 1982	1982-06-29	nl	secundair	onderwijzer (basisschool)	
M. Bruna	30 januari 1903	1903-01-30							https://www.dbnl.org/auteurs/auteur.php?id=brun024	brun024	Michaël Albertus (Miech)	Bruna	M. Bruna	wiskundige/natuurwetenschapper	Utrecht	Utrecht	1/30/1903	1903-01-30					male	Utrecht	Utrecht							Twintigste Eeuw	30 januari 1903	1903-01-30			nl	nonfictie	wiskundige/natuurwetenschapper	
Bernard Verhoeven	29 april 1897	1897-04-29	Arnhem	Arnhem	4 juni 1965	1965-06-04	Arnhem	Arnhem	https://www.dbnl.org/auteurs/auteur.php?id=verh038	verh038	Bernardus Johannes	Verhoeven	Bernard Verhoeven		Arnhem	Arnhem	1897-04-29	1897-04-29	Arnhem	Arnhem	6/4/1965	1965-06-04	male	Arnhem	Arnhem			Arnhem	Arnhem			Twintigste Eeuw	29 april 1897	1897-04-29	4 juni 1965	1965-06-04	nl	secundair	staatsman/bestuurder/politicus	
Adr. E. Maas	6 januari 1817	1817-01-06	Rotterdam	Rotterdam	3 juli 1886	1886-07-03	Scheveningen	Scheveningen	https://www.dbnl.org/auteurs/auteur.php?id=maas026	maas026	Adrien Eugène	Maas	Adr. E. Maas		Rotterdam	Rotterdam	1817-01-06	1817-01-06	Scheveningen	Scheveningen	1886-07-03	1886-07-03	male	Rotterdam	Rotterdam			Scheveningen	Scheveningen			Negentiende Eeuw	6 januari 1817	1817-01-06	3 juli 1886	1886-07-03		nonfictie		
Marnix Gijsen	20 oktober 1899	1899-10-20	Antwerpen	Antwerpen	29 september 1984	1984-09-29	Leuven	Leuven	https://www.dbnl.org/auteurs/auteur.php?id=gijs006	gijs006	Marnix	Gijsen	Joannes Alphonsius Albertus Goris/Marnix Gijsen	staatsman/bestuurder/politicus	Antwerpen	Antwerpen	1899-10-20	1899-10-20	Leuven	Leuven	9/29/1984	1984-09-29	male	Antwerpen	Antwerpen			Leuven	Leuven			Twintigste Eeuw	20 oktober 1899	1899-10-20	29 september 1984	1984-09-29	nl	secundair/nonfictie	staatsman/bestuurder/politicus	
Ed. Hoornik	9 maart 1910	1910-03-09	Den Haag	Den Haag	1 maart 1970	1970-03-01	Amsterdam	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=hoor009	hoor009	Eduard Jozef Antonie Marie	Hoornik	Ed. Hoornik		Den Haag	Den Haag	3/9/1910	1910-03-09	Amsterdam	Amsterdam	3/1/1970	1970-03-01	male	Den Haag	Den Haag			Amsterdam	Amsterdam			Twintigste Eeuw	9 maart 1910	1910-03-09	1 maart 1970	1970-03-01	nl	jeugdliteratuur	redacteur/journalist	
Gerard Bruning	18 februari 1898	1898-02-18	Amsterdam	Amsterdam	8 oktober 1926	1926-10-08	Nijmegen	Nijmegen	https://www.dbnl.org/auteurs/auteur.php?id=brun008	brun008	Gerard	Bruning	Gerard Bruning		Amsterdam	Amsterdam	1898-02-18	1898-02-18	Nijmegen	Nijmegen	10/8/1926	1926-10-08	male	Amsterdam	Amsterdam			Nijmegen	Nijmegen			Twintigste Eeuw	18 februari 1898	1898-02-18	8 oktober 1926	1926-10-08	nl			
Sybold van Ravesteyn	18 februari 1889	1889-02-18			23 november 1983	1983-11-23	Laren	Laren	https://www.dbnl.org/auteurs/auteur.php?id=rave015	rave015	Sybold	van Ravesteyn	Sijbold van Ravesteijn/Sybold van Ravesteyn	architect/bouwkundig ingenieur/bouwmeester			1889-02-18	1889-02-18	Laren	Laren	11/23/1983	1983-11-23	male					Laren	Laren			Twintigste Eeuw	18 februari 1889	1889-02-18	23 november 1983	1983-11-23	nl	nonfictie	architect/bouwkundig ingenieur/bouwmeester	
Piet Visser	1898	1898-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=viss154	viss154	Piet	Visser	Piet Visser				1898	1898-xx-xx					male									19e/20e Eeuw	1898	1898-xx-xx				jeugdliteratuur		
J. Eigenhuis	1866	1866-xx-xx			16 oktober 1944	1944-10-16			https://www.dbnl.org/auteurs/auteur.php?id=eige001	eige001	Jan	Eigenhuis	J. Eigenhuis	leraar/docent/hoogleraar	Aalsmeer	Aalsmeer	1866	1866-xx-xx	Epe	Epe	10/16/1944	1944-10-16	male	Aalsmeer	Aalsmeer			Epe	Epe			19e/20e Eeuw	1866	1866-xx-xx	16 oktober 1944	1944-10-16	nl	jeugdliteratuur	leraar/docent/hoogleraar	
Dirk Coster	7 juli 1887	1887-07-07			8 oktober 1956	1956-10-08			https://www.dbnl.org/auteurs/auteur.php?id=cost006	cost006	Dirk	Coster	Dirk Coster	letterkundige (NIET-neerl.)/redacteur/journalist/vertaler	Delft	Delft	1887-07-07	1887-07-07	Delft	Delft	10/8/1956	1956-10-08	male	Delft	Delft			Delft	Delft			Twintigste Eeuw	7 juli 1887	1887-07-07	8 oktober 1956	1956-10-08	nl	secundair	letterkundige (NIET-neerl.)/redacteur/journalist/vertaler	
Herman Teirlinck	24 februari 1879	1879-02-24			4 februari 1967	1967-02-04			https://www.dbnl.org/auteurs/auteur.php?id=teir001	teir001	Herman	Teirlinck	Herman Louis Cesar  Teirlinck/Herman Teirlinck/Jan van Overeyde	ambtenaar/journalist/leraar/redacteur/hoogleraar/docent	Sint-Jans-Molenbeek	Sint-Jans-Molenbeek	1879-02-24	1879-02-24	Beersel	Beersel	2/4/1967	1967-02-04	male	Sint-Jans-Molenbeek	Sint-Jans-Molenbeek			Beersel-Lot	Beersel-Lot			Twintigste Eeuw	24 februari 1879	1879-02-24	4 februari 1967	1967-02-04	nl	nonfictie	ambtenaar/journalist/leraar/hoogleraar/redacteur/docent	
Jan Campert	15 augustus 1902	1902-08-15			12 januari 1943	1943-01-12			https://www.dbnl.org/auteurs/auteur.php?id=camp014	camp014	Jan	Campert	Jan Campert	redacteur/journalist	Spijkenisse	Spijkenisse	8/15/1902	1902-08-15			1/12/1943	1943-01-12	male	Spijkenisse	Spijkenisse			Neuengamme	Neuengamme	Duitsland	Duitsland	Twintigste Eeuw	15 augustus 1902	1902-08-15	12 januari 1943	1943-01-12	nl	secundair	redacteur/journalist	
Henriette Roland Holst-van der Schalk	24 december 1869	1869-12-24			21 november 1952	1952-11-21			https://www.dbnl.org/auteurs/auteur.php?id=rola003	rola003	Henriette	Roland Holst-van der Schalk	Henriette Roland Holst-van der Schalk		Noordwijk	Noordwijk	1869-12-24	1869-12-24	Amsterdam	Amsterdam	11/21/1952	1952-11-21	female	Noordwijk	Noordwijk			Amsterdam	Amsterdam			19e/20e Eeuw	24 december 1869	1869-12-24	21 november 1952	1952-11-21	nl	secundair/nonfictie		
Jos. van der Kolk	1879	1879-xx-xx			1930	1930-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=kolk010	kolk010	Jos.	van der Kolk	Jos. van der Kolk	rk-geestelijke/kloosterling			1879	1879-xx-xx			1930	1930-xx-xx	male									Twintigste Eeuw	1879	1879-xx-xx	1930	1930-xx-xx		nonfictie	rk-geestelijke/kloosterling	
C.A. Terburg	1892	1892-xx-xx			1970	1970-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=terb004	terb004	Casimirus (Cas)	Terburg	C.A. Terburg	rk-geestelijke/kloosterling/vertaler			1892	1892-xx-xx			1970	1970-xx-xx	male									Twintigste Eeuw	1892	1892-xx-xx	1970	1970-xx-xx		nonfictie	rk-geestelijke/kloosterling/vertaler	
H. Marsman	30 september 1899	1899-09-30	Zeist	Zeist	21 juni 1940	1940-06-21	Het Kanaal	Het Kanaal	https://www.dbnl.org/auteurs/auteur.php?id=mars005	mars005	Hendrik	Marsman	H. Marsman	advocaat/jurist	Zeist	Zeist	1899-09-30	1899-09-30			6/21/1940	1940-06-21	male	Zeist	Zeist			Het Kanaal	Het Kanaal			Twintigste Eeuw	30 september 1899	1899-09-30	21 juni 1940	1940-06-21	nl	secundair	advocaat/jurist	
J.A. Dom Gregorius de Wit	9 juni 1892	1892-06-09	Hilversum	Hilversum	1978	1978-xx-xx	Visp	Visp	https://www.dbnl.org/auteurs/auteur.php?id=wit_033	wit_033	Johannes Aloysius	de Wit	Dom Gregorius de Wit/Gregorius de Wit/J.A. Dom Gregorius de Wit	rk-geestelijke/kloosterling	Hilversum	Hilversum	1892-06-09	1892-06-09			1978	1978-xx-xx	male	Hilversum	Hilversum			Visp	Visp	Zwitserland	Zwitserland	Twintigste Eeuw	9 juni 1892	1892-06-09	1978	1978-xx-xx			rk-geestelijke/kloosterling	
Jean Cocteau	5 juli 1889	1889-07-05	Maisons-Laffitte	Maisons-Laffitte	11 oktober 1963	1963-10-11	Milly-la-Forêt	Milly-la-Forêt	https://www.dbnl.org/auteurs/auteur.php?id=coct001	coct001	Jean Maurice Clément Eugène	Cocteau	Jean Cocteau				1889-07-05	1889-07-05			10/11/1963	1963-10-11	male	Maisons-Laffitte	Maisons-Laffitte	Frankrijk	Frankrijk	Milly-la-Forêt	Milly-la-Forêt	Frankrijk	Frankrijk	Twintigste Eeuw	5 juli 1889	1889-07-05	11 oktober 1963	1963-10-11	fr	buitenland		
Wim Snitker	1901	1901-xx-xx			1950	1950-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=snit002	snit002	Willem	Snitker	Wim Snitker	redacteur/journalist			1901	1901-xx-xx			1950	1950-xx-xx	male									Twintigste Eeuw	1901	1901-xx-xx	1950	1950-xx-xx			redacteur/journalist	
P.A. Kerstens	23 augustus 1896	1896-08-23			8 oktober 1958	1958-10-08			https://www.dbnl.org/auteurs/auteur.php?id=kers013	kers013	Pieter Adriaan (Piet)	Kerstens	P.A. Kerstens	onderwijzer (basisschool)/staatsman/bestuurder/politicus	Ginneken	Ginneken	1896-08-23	1896-08-23	Den Haag	Den Haag	10/8/1958	1958-10-08	male	Ginneken	Ginneken			Den Haag	Den Haag			Twintigste Eeuw	23 augustus 1896	1896-08-23	8 oktober 1958	1958-10-08	nl	secundair	onderwijzer (basisschool)/staatsman/bestuurder/politicus	
Eliseus Bruning	25 november 1892	1892-11-25	Geldrop	Geldrop	31 mei 1958	1958-05-31	Nijmegen	Nijmegen	https://www.dbnl.org/auteurs/auteur.php?id=brun007	brun007	Henricus	Bruning	Eliseus Bruning/Henricus Bruning	rk-geestelijke/kloosterling	Geldrop	Geldrop	1892-11-25	1892-11-25	Nijmegen	Nijmegen	5/31/1958	1958-05-31	male	Geldrop	Geldrop			Nijmegen	Nijmegen			Twintigste Eeuw	25 november 1892	1892-11-25	31 mei 1958	1958-05-31	nl	nonfictie	rk-geestelijke/kloosterling	
Willem ten Berge	3 juli 1903	1903-07-03	Leens	Leens	12 mei 1969	1969-05-12	Haarlem	Haarlem	https://www.dbnl.org/auteurs/auteur.php?id=berg028	berg028	Willem Gregorius Severinus	ten Berge	Willem ten Berge		Leens	Leens	7/3/1903	1903-07-03	Haarlem	Haarlem	5/12/1969	1969-05-12	male	Leens	Leens			Haarlem	Haarlem			Twintigste Eeuw	3 juli 1903	1903-07-03	12 mei 1969	1969-05-12	nl			
Menno ter Braak	26 januari 1902	1902-01-26	Eibergen	Eibergen	15 mei 1940	1940-05-15	Den Haag	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=braa002	braa002	Menno	ter Braak	Menno ter Braak		Eibergen	Eibergen	1/26/1902	1902-01-26	Den Haag	Den Haag	5/15/1940	1940-05-15	male	Eibergen	Eibergen			Den Haag	Den Haag			Twintigste Eeuw	26 januari 1902	1902-01-26	15 mei 1940	1940-05-15	nl			
Wouter Lutkie	23 februari 1887	1887-02-23	Hertogenbosch	Hertogenbosch	23 januari 1968	1968-01-23	Nuland	Nuland	https://www.dbnl.org/auteurs/auteur.php?id=lutk002	lutk002	Wouterus Leonardus (Wouter)	Lutkie	Wouter Lutkie	rk-geestelijke/kloosterling	Hertogenbosch	Hertogenbosch	1887-02-23	1887-02-23	Nuland	Nuland	1/23/1968	1968-01-23	male	Hertogenbosch	Hertogenbosch			Nuland	Nuland			Twintigste Eeuw	23 februari 1887	1887-02-23	23 januari 1968	1968-01-23	nl		rk-geestelijke/kloosterling	
Hendrik Andriessen	17 september 1892	1892-09-17	Haarlem	Haarlem	12 april 1981	1981-04-12	Haarlem	Haarlem	https://www.dbnl.org/auteurs/auteur.php?id=andr036	andr036	Hendrik Franciscus	Andriessen	Hendrik Andriessen	jongleur/musicus/minstreel	Haarlem	Haarlem	1892-09-17	1892-09-17	Haarlem	Haarlem	4/12/1981	1981-04-12	male	Haarlem	Haarlem			Haarlem	Haarlem			Twintigste Eeuw	17 september 1892	1892-09-17	12 april 1981	1981-04-12	nl		jongleur/musicus/minstreel	
Kees Meekel	7 oktober 1883	1883-10-07	Amstelveen	Amstelveen	25 november 1953	1953-11-25	Bachellerie	Bachellerie	https://www.dbnl.org/auteurs/auteur.php?id=meek001	meek001	Kees	Meekel	Kees Meekel		Amstelveen	Amstelveen	1883-10-07	1883-10-07			11/25/1953	1953-11-25	male	Amstelveen	Amstelveen			Bachellerie	Bachellerie	Frankrijk	Frankrijk	Twintigste Eeuw	7 oktober 1883	1883-10-07	25 november 1953	1953-11-25	nl			
Pieter van der Meer de Walcheren	10 september 1880	1880-09-10	Utrecht	Utrecht	16 december 1970	1970-12-16	Breda	Breda	https://www.dbnl.org/auteurs/auteur.php?id=meer001	meer001	Petrus Matthias Balthazar Albertus	van der Meer de Walcheren	Pieter van der Meer de Walcheren	rk-geestelijke/kloosterling/redacteur/journalist	Utrecht	Utrecht	1880-09-10	1880-09-10	Breda	Breda	12/16/1970	1970-12-16	male	Utrecht	Utrecht			Breda	Breda			Twintigste Eeuw	10 september 1880	1880-09-10	16 december 1970	1970-12-16	nl		rk-geestelijke/kloosterling/redacteur/journalist	
Herman de Man	11 juli 1898	1898-07-11	Woerden	Woerden	14 november 1946	1946-11-14	Schiphol	Schiphol	https://www.dbnl.org/auteurs/auteur.php?id=man_002	man_002	Herman	de Man	Herman de Man/Salomon Herman Hamburger		Woerden	Woerden	1898-07-11	1898-07-11	Schiphol	Schiphol	11/14/1946	1946-11-14	male	Woerden	Woerden			Schiphol	Schiphol			Twintigste Eeuw	11 juli 1898	1898-07-11	14 november 1946	1946-11-14	nl			
Michel de Ghelderode	3 april 1898	1898-04-03	Elsene	Elsene	1 april 1962	1962-04-01	Schaarbeek	Schaarbeek	https://www.dbnl.org/auteurs/auteur.php?id=ghel002	ghel002	Michel	de Ghelderode	Michel de Ghelderode		Elsene	Elsene	1898-04-03	1898-04-03	Schaarbeek	Schaarbeek	4/1/1962	1962-04-01	male	Elsene	Elsene			Schaarbeek	Schaarbeek			Twintigste Eeuw	3 april 1898	1898-04-03	1 april 1962	1962-04-01	fr			
Willem Putman	7 juni 1900	1900-06-07	Waregem	Waregem	3 september 1954	1954-09-03	Brugge	Brugge	https://www.dbnl.org/auteurs/auteur.php?id=putm004	putm004	Willem	Putman	Jean du Parc/W. Hegeling/Willem Putman		Waregem	Waregem	6/7/1900	1900-06-07	Brugge	Brugge	9/3/1954	1954-09-03	male	Waregem	Waregem			Brugge	Brugge			Twintigste Eeuw	7 juni 1900	1900-06-07	3 september 1954	1954-09-03	nl	jeugdliteratuur		
To Hölscher	16 januari 1898	1898-01-16	Helmond	Helmond	9 december 1953	1953-12-09	Helmond	Helmond	https://www.dbnl.org/auteurs/auteur.php?id=hols006	hols006	Catharina Margaretha Clasina	Hölscher	To Hölscher	leraar/docent/hoogleraar	Helmond	Helmond	1898-01-16	1898-01-16	Helmond	Helmond	12/9/1953	1953-12-09	female	Helmond	Helmond			Helmond	Helmond			Twintigste Eeuw	16 januari 1898	1898-01-16	9 december 1953	1953-12-09	nl	jeugdliteratuur	leraar/docent/hoogleraar	
Jos. Panhuijsen	13 mei 1900	1900-05-13	Tilburg	Tilburg	21 januari 1986	1986-01-21	Amsterdam	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=panh001	panh001	Josephus Lambertus Antonius	Panhuijsen	Jos. Panhuijsen	redacteur/journalist	Tilburg	Tilburg	5/13/1900	1900-05-13	Amsterdam	Amsterdam	1/21/1986	1986-01-21	male	Tilburg	Tilburg			Amsterdam	Amsterdam			Twintigste Eeuw	13 mei 1900	1900-05-13	21 januari 1986	1986-01-21	nl		redacteur/journalist	
Pierre Kemp	1 december 1886	1886-12-01	Maastricht	Maastricht	21 juli 1967	1967-07-21	Maastricht	Maastricht	https://www.dbnl.org/auteurs/auteur.php?id=kemp005	kemp005	Petrus Johannes (Pierre)	Kemp	J. Umbo/Pierre Kemp/Rob Ree/W. Maasbrug/X.Y.Z.	illustrator/tekenaar/beeldend kunstenaar	Maastricht	Maastricht	1886-12-01	1886-12-01	Maastricht	Maastricht	7/21/1967	1967-07-21	male	Maastricht	Maastricht			Maastricht	Maastricht			Twintigste Eeuw	1 december 1886	1886-12-01	21 juli 1967	1967-07-21	nl	nonfictie/limburg	illustrator/tekenaar/beeldend kunstenaar	
Paul van Ostaijen	22 februari 1896	1896-02-22	Antwerpen	Antwerpen	18 maart 1928	1928-03-18	Miavoye-Anthée	Miavoye-Anthée	https://www.dbnl.org/auteurs/auteur.php?id=osta002	osta002	Paul	van Ostaijen	Paul van Ostaijen	redacteur/journalist	Antwerpen	Antwerpen	1896-02-22	1896-02-22			3/18/1928	1928-03-18	male	Antwerpen	Antwerpen			Miavoye-Anthée	Miavoye-Anthée	België (Wallonië)	België (Wallonië)	Twintigste Eeuw	22 februari 1896	1896-02-22	18 maart 1928	1928-03-18	nl		redacteur/journalist	
Victor J. Brunclair	18 oktober 1899	1899-10-18	Antwerpen	Antwerpen	21 november 1944	1944-11-21	Lagelund (Sleeswijk-Holstein)	Lagelund	https://www.dbnl.org/auteurs/auteur.php?id=brun005	brun005	Victor J.	Brunclair	Bardemeyer/Bonafied/David Angel/Victor J. Brunclair		Antwerpen	Antwerpen	1899-10-18	1899-10-18			11/21/1944	1944-11-21	male	Antwerpen	Antwerpen			Lagelund (Sleeswijk-Holstein)	Lagelund	Duitsland	Duitsland	Twintigste Eeuw	18 oktober 1899	1899-10-18	21 november 1944	1944-11-21	nl			
Anton van Duinkerken	2 januari 1903	1903-01-02	Bergen op Zoom	Bergen op Zoom	27 juli 1968	1968-07-27	Nijmegen	Nijmegen	https://www.dbnl.org/auteurs/auteur.php?id=duin004	duin004	Anton	van Duinkerken	Anton van Duinkerken/Ch. André Leffens/Dom Muet/Pieter Bakx/W.J.M.A. Asselbergs/Wilhelmus Johannes Maria Antonius Asselbergs	journalist/leraar/redacteur/hoogleraar/docent	Bergen op Zoom	Bergen op Zoom	1/2/1903	1903-01-02	Nijmegen	Nijmegen	7/27/1968	1968-07-27	male	Bergen op Zoom	Bergen op Zoom			Nijmegen	Nijmegen			Twintigste Eeuw	2 januari 1903	1903-01-02	27 juli 1968	1968-07-27	nl	secundair/nonfictie	journalist/leraar/hoogleraar/redacteur/docent	
Marie Koenen	19 januari 1879	1879-01-19	's-Hertogenbosch	's-Hertogenbosch	10 juli 1959	1959-07-10	Maastricht	Maastricht	https://www.dbnl.org/auteurs/auteur.php?id=koen006	koen006	Marie	Koenen	Annie van Zuyden/Marie Koenen		Hertogenbosch	Hertogenbosch	1879-01-19	1879-01-19	Maastricht	Maastricht	7/10/1959	1959-07-10	female	's-Hertogenbosch	's-Hertogenbosch			Maastricht	Maastricht			Twintigste Eeuw	19 januari 1879	1879-01-19	10 juli 1959	1959-07-10	nl	jeugdliteratuur/limburg		
