Author	DOB	POB	DOD	POD	Link	identifier
Martien Beversluis	28 maart 1894	Barendrecht	18 februari 1966	Vrouwenpolder	https://www.dbnl.org/auteurs/auteur.php?id=beve004	beve004
J.J. ten Berge S.J.	14 december 1892	Leens	23 december 1978	Nijmegen	https://www.dbnl.org/auteurs/auteur.php?id=berg113	berg113
Erich Wichman	11 augustus 1890	Utrecht	1 januari 1929	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=wich002	wich002
Blaise Cendrars	1 september 1887	La Chaux-de-Fonds	21 januari 1961	Parijs	https://www.dbnl.org/auteurs/auteur.php?id=cend001	cend001
H.W.E. Moller	8 november 1869	Amsterdam	6 december 1940	Tilburg	https://www.dbnl.org/auteurs/auteur.php?id=moll007	moll007
Dop Bles	8 september 1883	Rotterdam	16 januari 1940	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=bles001	bles001
Hans van Zijl	1910		3 december 1963		https://www.dbnl.org/auteurs/auteur.php?id=zijl001	zijl001
François Villon	1431	Frankrijk	ca. 1463		https://www.dbnl.org/auteurs/auteur.php?id=vill006	vill006
J. Wille	8 april 1881	Koudekerk a/d Rijn	16 april 1964	Oosterbeek	https://www.dbnl.org/auteurs/auteur.php?id=will006	will006
Henri Morel	28 november 1898	Nijmegen	3 november 1969	Heerlen	https://www.dbnl.org/auteurs/auteur.php?id=more012	more012
J.H. Horemans					https://www.dbnl.org/auteurs/auteur.php?id=hore012	hore012
Theo Vonck	1900		1974		https://www.dbnl.org/auteurs/auteur.php?id=vonc002	vonc002
Lambert Melissen	8 november 1909	Langeweg			https://www.dbnl.org/auteurs/auteur.php?id=meli008	meli008
Gerard Wijdeveld	1905		1997		https://www.dbnl.org/auteurs/auteur.php?id=wijd001	wijd001
[tijdschrift] Dietsche Warande en Belfort					https://www.dbnl.org/auteurs/auteur.php?id=_die004	_die004
Mien Proost	21 februari 1902	Amsterdam	7 november 1987		https://www.dbnl.org/auteurs/auteur.php?id=proo004	proo004
Jacques Gans	7 december 1907	Hilversum	26 augustus 1972	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=gans001	gans001
Theo Schlichting	14 januari 1894	Graft	14 september 1957	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=schl007	schl007
N. van Wijk	4 oktober 1880		25 maart 1941	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=wijk002	wijk002
Hendrik Wiegersma	7 oktober 1891		5 april 1969	Deurne	https://www.dbnl.org/auteurs/auteur.php?id=wieg004	wieg004
Theun de Vries	26 april 1907	Veenwouden	21 januari 2005	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=vrie049	vrie049
H.E.H. van Loon	1885	Rotterdam	1942		https://www.dbnl.org/auteurs/auteur.php?id=loon004	loon004
J.F.M. Sterck	3 januari 1859	Amsterdam	28 augustus 1941	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=ster002	ster002
J.C. Bloem	10 mei 1887	Oudshoorn	10 augustus 1966	Kalenberg	https://www.dbnl.org/auteurs/auteur.php?id=bloe001	bloe001
Vic Reinders	7 augustus 1888	Maastricht	14 juni 1961	Maastricht	https://www.dbnl.org/auteurs/auteur.php?id=rein003	rein003
Jan H. Eekhout	10 januari 1900	Sluis	6 maart 1978	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=eekh004	eekh004
Huub van der Grinten	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=grin002	grin002
F.J.H. Lousberg	1891	Maastricht	1965	Maastricht	https://www.dbnl.org/auteurs/auteur.php?id=lous001	lous001
Henri Borel	23 november 1869	Dordrecht	31 augustus 1933		https://www.dbnl.org/auteurs/auteur.php?id=bore002	bore002
D.A.M. Binnendijk	12 oktober 1902	Leiden	1 juni 1984	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=binn004	binn004
A. Viruly	5 januari 1905	Breda	1986		https://www.dbnl.org/auteurs/auteur.php?id=viru001	viru001
Jacques Schreurs	9 februari 1893	Sittard	31 januari 1966	Weert	https://www.dbnl.org/auteurs/auteur.php?id=schr014	schr014
Gerrit Achterberg	20 mei 1905	Langbroek	17 januari 1962	Leusden	https://www.dbnl.org/auteurs/auteur.php?id=acht003	acht003
J.J. van Geuns	25 februari 1893	Zierikzee	6 maart 1959	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=geun001	geun001
Halbo C. Kool	25 januari 1907	Groningen	30 mei 1968	Kortenhoef	https://www.dbnl.org/auteurs/auteur.php?id=kool003	kool003
Emile Erens	27 april 1865	Schaesberg	16 april 1951	Heemstede	https://www.dbnl.org/auteurs/auteur.php?id=eren001	eren001
Maurits Mok	7 november 1907	Haarlem	7 februari 1989	Bergen	https://www.dbnl.org/auteurs/auteur.php?id=mok_002	mok_002
Gabriël Smit	25 februari 1910	Utrecht	23 mei 1981	Laren (N.H.)	https://www.dbnl.org/auteurs/auteur.php?id=smit006	smit006
Joris Ivens	18 november 1898	Nijmegen	28 juni 1989	Parijs	https://www.dbnl.org/auteurs/auteur.php?id=iven003	iven003
Luc Tournier	19 november 1907	Rotterdam	20 december 1980	Willemstad	https://www.dbnl.org/auteurs/auteur.php?id=tour003	tour003
Wilhelmus Nicolaï		Amsterdam			https://www.dbnl.org/auteurs/auteur.php?id=nico018	nico018
Jan van Gelder	1903		1980		https://www.dbnl.org/auteurs/auteur.php?id=geld021	geld021
Chris de Graaff	13 september 1890		4 februari 1955		https://www.dbnl.org/auteurs/auteur.php?id=graa015	graa015
Oscar Leyendekkers	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=leye001	leye001
A.J.D. van Oosten	12 november 1898	Delft	23 januari 1969	Rotterdam	https://www.dbnl.org/auteurs/auteur.php?id=oost003	oost003
L. Stolte	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=stol018	stol018
A.J.A. Etman	30 mei 1910	Den Haag			https://www.dbnl.org/auteurs/auteur.php?id=etma001	etma001
J.B. Stolte	1908		1984		https://www.dbnl.org/auteurs/auteur.php?id=stol019	stol019
N.G.H. Deen	24 februari 1897	Den Haag	23 november 1977	Rotterdam	https://www.dbnl.org/auteurs/auteur.php?id=deen005	deen005
W.P.J. Pompe	10 maart 1893	Utrecht	26 juli 1968	Utrecht	https://www.dbnl.org/auteurs/auteur.php?id=pomp001	pomp001
Frans Erens	23 juli 1857	Schaesberg	5 december 1935	Houthem-Sint Gerlach	https://www.dbnl.org/auteurs/auteur.php?id=eren003	eren003
Charles Eyck	24 maart 1897	Meerssen	2 augusus 1983	Schimmert	https://www.dbnl.org/auteurs/auteur.php?id=eyck006	eyck006
Ad. Sassen	1906		1942		https://www.dbnl.org/auteurs/auteur.php?id=sass002	sass002
Lodewijk van Deyssel	22 september 1864	Amsterdam	26 januari 1952	Haarlem	https://www.dbnl.org/auteurs/auteur.php?id=deys001	deys001
Jan Thorn-Prikker	5 juni 1868	Den Haag	5 maart 1932	Keulen	https://www.dbnl.org/auteurs/auteur.php?id=thor005	thor005
Alfons Olterdissen	1865	Maastricht?	1923		https://www.dbnl.org/auteurs/auteur.php?id=olte001	olte001
G.D. Franquinet	1 mei 1826	Maastricht	29 januari 1900	Maastricht	https://www.dbnl.org/auteurs/auteur.php?id=fran023	fran023
E. Jaspar	17 oktober 1872	Maastricht	7 augustus 1946		https://www.dbnl.org/auteurs/auteur.php?id=jasp002	jasp002
Laurent Polis	11 oktober 1845	Maastricht	1 augustus 1915	Maastricht	https://www.dbnl.org/auteurs/auteur.php?id=poli001	poli001
G.H. Weustink	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=weus003	weus003
P. Hendrix	25 januari 1896	Halsteren	18 maart 1979	Dordrecht	https://www.dbnl.org/auteurs/auteur.php?id=hend038	hend038
M. Revis	6 augustus 1904	Zeist	16 maart 1973	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=revi002	revi002
A. van Domburg	9 januari 1895		21 juni 1983		https://www.dbnl.org/auteurs/auteur.php?id=domb002	domb002
Jan H. de Groot	13 maart 1901	Alkmaar	1 december 1990	Zeist	https://www.dbnl.org/auteurs/auteur.php?id=groo015	groo015
Frans van Oldenburg Ermke	6 februari 1909	Dordrecht	13 oktober 1974	Meerssen	https://www.dbnl.org/auteurs/auteur.php?id=olde002	olde002
Giovanni Papini	1881		1956		https://www.dbnl.org/auteurs/auteur.php?id=papi001	papi001
Ellen Russe	4 mei 1889		9 september 1942		https://www.dbnl.org/auteurs/auteur.php?id=russ001	russ001
Sigmund Freud	6 mei 1856		23 september 1939		https://www.dbnl.org/auteurs/auteur.php?id=freu001	freu001
Martin Bruijns	1903	Wisch	1969	Arnhem	https://www.dbnl.org/auteurs/auteur.php?id=bruy019	bruy019
Eric van der Steen	14 september 1907	Alkmaar	3 november 1985	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=stee008	stee008
Leo van Breen	1906	Goes	1988		https://www.dbnl.org/auteurs/auteur.php?id=bree009	bree009
Herman Oosterwijk	1902		1960		https://www.dbnl.org/auteurs/auteur.php?id=oost025	oost025
Martinus Nijhoff	20 april 1894	Den Haag	26 januari 1953	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=nijh004	nijh004
Louis de Bourbon	27 december 1908	Renkum	8 januari 1975	Arnhem	https://www.dbnl.org/auteurs/auteur.php?id=bour001	bour001
Berend Kuitert Cz	31 oktober 1817		1891		https://www.dbnl.org/auteurs/auteur.php?id=kuit004	kuit004
A.C. Ramselaar	1899		1981		https://www.dbnl.org/auteurs/auteur.php?id=rams002	rams002
Koos van Doorne	1908		1984		https://www.dbnl.org/auteurs/auteur.php?id=door016	door016
Alphons Diepenbrock	2 september 1862	Amsterdam	5 april 1921	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=diep001	diep001
August van Cauwelaert	31 december 1885	O.L. Vrouw-Lombeek	4 juli 1945	Antwerpen	https://www.dbnl.org/auteurs/auteur.php?id=cauw004	cauw004
Aug. Cuypers	26 september 1899	Amsterdam	16 januari 1996	Leiderdorp	https://www.dbnl.org/auteurs/auteur.php?id=cuyp007	cuyp007
Jan Derks	1912		1963		https://www.dbnl.org/auteurs/auteur.php?id=derk001	derk001
Stijn Streuvels	3 oktober 1871	Heule	15 augustus 1969	Ingooigem (Anzegem)	https://www.dbnl.org/auteurs/auteur.php?id=stre009	stre009
Paul Vlemminx	1907	Schijndel	1972	Hertogenbosch	https://www.dbnl.org/auteurs/auteur.php?id=vlem001	vlem001
Franciscus De Smidt	1567	Antwerpen	1659	Lier	https://www.dbnl.org/auteurs/auteur.php?id=smid009	smid009
G.J. Peelen	1905		1966		https://www.dbnl.org/auteurs/auteur.php?id=peel002	peel002
Heleen Hoekstra	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=hoek036	hoek036
A.P.Th. Sassen	9 september 1844	Roermond	20 januari 1909	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=sass009	sass009
Jos. van Schaveren	1911		2001		https://www.dbnl.org/auteurs/auteur.php?id=scha079	scha079
Jop Pollmann	1902		1973		https://www.dbnl.org/auteurs/auteur.php?id=poll006	poll006
E.Th.J. Brom	20 juli 1862	Amsterdam	24 april 1935	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=brom001	brom001
G. Vrijmoed	5 november 1881	Rotterdam	14 december 1963	Delft	https://www.dbnl.org/auteurs/auteur.php?id=vrij009	vrij009
Willem Brandt	6 september 1905	Groningen	29 april 1981	Bussum	https://www.dbnl.org/auteurs/auteur.php?id=bran027	bran027
E.H.M. Beekman	ca. 1883	Den Haag	8 december 1950	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=beek023	beek023
H. van Rooijen	22 december 1902	Utrecht	9 november 1987	Amersfoort	https://www.dbnl.org/auteurs/auteur.php?id=rooi010	rooi010
C.R. de Klerk	1873	Woubrugge	1953		https://www.dbnl.org/auteurs/auteur.php?id=kler001	kler001
H.M. van Randwijk	9 november 1909	Gorinchem	13 mei 1966	Purmerend	https://www.dbnl.org/auteurs/auteur.php?id=rand002	rand002
Carole Vos	1933				https://www.dbnl.org/auteurs/auteur.php?id=vos_006	vos_006
Antoon Coolen	17 april 1897	Wijlre	9 november 1961	Eindhoven	https://www.dbnl.org/auteurs/auteur.php?id=cool004	cool004
J.H. Newman	21 februari 1801	Londen	11 augustus 1890	Birmingham	https://www.dbnl.org/auteurs/auteur.php?id=newm001	newm001
Hendrik de Vries	17 augustus 1896	Groningen	18 november 1989	Haren	https://www.dbnl.org/auteurs/auteur.php?id=vrie024	vrie024
Gaston Burssens	18 februari 1896	Dendermonde	29 januari 1965	Antwerpen	https://www.dbnl.org/auteurs/auteur.php?id=burs002	burs002
Paul Claudel	6 augustus 1868	Villeneuve-sur-Fère	23 februari 1955	Parijs	https://www.dbnl.org/auteurs/auteur.php?id=clau002	clau002
Michiel de Swaen	20 januari 1654	Duinkerken	3 mei 1707	Duinkerken	https://www.dbnl.org/auteurs/auteur.php?id=swae001	swae001
Wouter Paap	7 mei 1908	Utrecht	7 oktober 1981	Lage Vuursche	https://www.dbnl.org/auteurs/auteur.php?id=paap003	paap003
David de Kok	1884	Rotterdam	26 januari 1957	Boekel	https://www.dbnl.org/auteurs/auteur.php?id=kok_021	kok_021
J.A.A. Mekel	22 december 1891	Bedum	3 mei 1942	Sachsenhausen	https://www.dbnl.org/auteurs/auteur.php?id=meke002	meke002
Felix Rutten	13 juli 1882	Sittard	22 december 1971	Rome	https://www.dbnl.org/auteurs/auteur.php?id=rutt004	rutt004
Freek van Leeuwen	27 februari 1905	Leiden	9 juni 1968	Leiderdorp	https://www.dbnl.org/auteurs/auteur.php?id=leeu017	leeu017
Herluf van Merlet	17 mei 1900	Arnhem	27 januari 1965	Bussum	https://www.dbnl.org/auteurs/auteur.php?id=merl001	merl001
L.S.J. Hanekroot	1908		1974		https://www.dbnl.org/auteurs/auteur.php?id=hane004	hane004
Kees Klap	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=klap001	klap001
C.C. Berg	18 december 1900	Rotterdam	25 juni 1990	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=berg309	berg309
Jan Vercammen	7 november 1906	Temse	5 augustus 1984	Brugge	https://www.dbnl.org/auteurs/auteur.php?id=verc002	verc002
Jan Gin	1 november 1910	Goes	8 augustus 2003	Enschede	https://www.dbnl.org/auteurs/auteur.php?id=gin_001	gin_001
F. Bordewijk	10 oktober 1884	Amsterdam	28 april 1965	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=bord001	bord001
Johan Brouwer	31 mei 1898	Rotterdam	1 juli 1943	Overveen	https://www.dbnl.org/auteurs/auteur.php?id=brou016	brou016
Charles Nypels	31 oktober 1895	Maastricht	3 januari 1952	Groesbeek	https://www.dbnl.org/auteurs/auteur.php?id=nype001	nype001
Marie Gijsen	21 april 1856	Gouda	20 november 1936	Berlicum	https://www.dbnl.org/auteurs/auteur.php?id=gijs005	gijs005
Luc van Hoek	1910		1991		https://www.dbnl.org/auteurs/auteur.php?id=hoek006	hoek006
Willem Nolet	28 september 1885	Schiedam	31 augustus 1965	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=nole009	nole009
A.G.W. Severijnen	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=seve022	seve022
G.W. van der Does	25 november 1894	Arnhem	7 augustus 1972	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=does017	does017
Clara Eggink	18 april 1906	Utrecht	3 maart 1991	Scheveningen	https://www.dbnl.org/auteurs/auteur.php?id=eggi001	eggi001
C.P.M. Romme	21 december 1896	Oirschot	16 oktober 1980	Tilburg	https://www.dbnl.org/auteurs/auteur.php?id=romm002	romm002
J.W.F. Werumeus Buning	4 mei 1891	Velp	16 november 1958	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=weru002	weru002
Hubert Cuypers jr.	1898		1970		https://www.dbnl.org/auteurs/auteur.php?id=cuyp043	cuyp043
Jac. van Hattum	10 februari 1900	Wommels	19 augustus 1981	Amstelveen	https://www.dbnl.org/auteurs/auteur.php?id=hatt004	hatt004
Renaat de Vos	1907		1980		https://www.dbnl.org/auteurs/auteur.php?id=vos_029	vos_029
F.Ph.A. Tellegen	1904		1985		https://www.dbnl.org/auteurs/auteur.php?id=tell002	tell002
W.H. Beuken	10 augustus 1898		17 juli 1989		https://www.dbnl.org/auteurs/auteur.php?id=beuk002	beuk002
Dick Ouwendijk	1907		1990		https://www.dbnl.org/auteurs/auteur.php?id=ouwe002	ouwe002
Ernest van der Hallen	2 juni 1898	Lier	24 februari 1948	Lier	https://www.dbnl.org/auteurs/auteur.php?id=hall005	hall005
Leo Boekraad	1914	Boskoop	1979		https://www.dbnl.org/auteurs/auteur.php?id=boek011	boek011
Herman Hutte	1917		2000		https://www.dbnl.org/auteurs/auteur.php?id=hutt002	hutt002
C. van Oosterhout	1899		1969		https://www.dbnl.org/auteurs/auteur.php?id=oost061	oost061
Esther Hadassa Weyl	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=weyl002	weyl002
Piet Oomes	20 november 1898		3 december 1984	Nijmegen	https://www.dbnl.org/auteurs/auteur.php?id=oome001	oome001
Ben van Eysselsteijn	22 januari 1898	Hellevoetsluis	13 augustus 1973	Sliedrecht	https://www.dbnl.org/auteurs/auteur.php?id=eyss002	eyss002
Paul de Vree	13 november 1909	Antwerpen	25 april 1982	Antwerpen	https://www.dbnl.org/auteurs/auteur.php?id=vree002	vree002
J.A. van Lieshout	1876		1944		https://www.dbnl.org/auteurs/auteur.php?id=lies009	lies009
P.J.H. Vermeeren	11 oktober 1913		2 december 1974		https://www.dbnl.org/auteurs/auteur.php?id=verm009	verm009
Joannes Reddingius	19 juni 1873	Deurne	14 oktober 1944	Bennekom	https://www.dbnl.org/auteurs/auteur.php?id=redd002	redd002
Bertus Aafjes	12 mei 1914	Amsterdam	22 april 1993	Swolgen	https://www.dbnl.org/auteurs/auteur.php?id=aafj001	aafj001
Paul Haimon	20 oktober 1913	Ohe en Laak	11 februari 1996	Mheer	https://www.dbnl.org/auteurs/auteur.php?id=haim001	haim001
Johan Winkler	6 oktober 1898	Haarlem	27 september 1986	Deventer	https://www.dbnl.org/auteurs/auteur.php?id=wink008	wink008
W.C.L. van der Grinten	1913		1994		https://www.dbnl.org/auteurs/auteur.php?id=grin003	grin003
K. Steur	23 juni 1905	Volendam	28 juli 1985	Volendam	https://www.dbnl.org/auteurs/auteur.php?id=steu007	steu007
Gerth Schreiner	16 september 1892	Laubach	18 mei 1940	Blaricum	https://www.dbnl.org/auteurs/auteur.php?id=schr008	schr008
Jo Manders	24 september 1891	Amsterdam	1982	Rijsbergen	https://www.dbnl.org/auteurs/auteur.php?id=mand007	mand007
J. Slauerhoff	14 september 1898	Leeuwarden	5 oktober 1936	Hilversum	https://www.dbnl.org/auteurs/auteur.php?id=slau001	slau001
A.J.M. Cornelissen	1902		1977		https://www.dbnl.org/auteurs/auteur.php?id=corn032	corn032
Gerard den Brabander	3 juli 1900	Den Haag	4 februari 1968	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=brab001	brab001
Bert Bakker	3 april 1912	Huizem	19 september 1969	Ilpendam	https://www.dbnl.org/auteurs/auteur.php?id=bakk002	bakk002
Jef Last	2 mei 1898		15 februari 1972		https://www.dbnl.org/auteurs/auteur.php?id=last001	last001
Frank Valkenier	2 september 1907	Tilburg	10 december 1999	Tilburg	https://www.dbnl.org/auteurs/auteur.php?id=valk011	valk011
Simon Vestdijk	17 oktober 1898	Harlingen	23 maart 1971	Utrecht	https://www.dbnl.org/auteurs/auteur.php?id=vest002	vest002
Bert Decorte	2 juli 1915	Retie	13 oktober 2009		https://www.dbnl.org/auteurs/auteur.php?id=deco002	deco002
Martin Leopold	1908		1982		https://www.dbnl.org/auteurs/auteur.php?id=leop006	leop006
Johan de Molenaar	18 april 1894	Amsterdam	31 maart 1969	Utrecht	https://www.dbnl.org/auteurs/auteur.php?id=mole006	mole006
André Demedts	8 augustus 1906	Sint Baafs Vijve	4 november 1992	Oudenaarde	https://www.dbnl.org/auteurs/auteur.php?id=deme001	deme001
