Author	DOB	POB	DOD	POD	Link	identifier	givenName	familyName	alternateNames	occupation	birthPlace	birthDate	deathPlace	deathDate	gender
Marnix Gijsen	20 oktober 1899	Antwerpen	29 september 1984	Leuven	https://www.dbnl.org/auteurs/auteur.php?id=gijs006	gijs006	Marnix	Gijsen	Joannes Alphonsius Albertus Goris/Marnix Gijsen	staatsman/bestuurder/politicus	Antwerpen	1899-10-20	Leuven	9/29/1984	male
Ed. Hoornik	9 maart 1910	Den Haag	1 maart 1970	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=hoor009	hoor009	Eduard Jozef Antonie Marie	Hoornik	Ed. Hoornik		Den Haag	3/9/1910	Amsterdam	3/1/1970	male
Gerard Bruning	18 februari 1898	Amsterdam	8 oktober 1926	Nijmegen	https://www.dbnl.org/auteurs/auteur.php?id=brun008	brun008	Gerard	Bruning	Gerard Bruning		Amsterdam	1898-02-18	Nijmegen	10/8/1926	male
Sybold van Ravesteyn	18 februari 1889		23 november 1983	Laren	https://www.dbnl.org/auteurs/auteur.php?id=rave015	rave015	Sybold	van Ravesteyn	Sijbold van Ravesteijn/Sybold van Ravesteyn	architect/bouwkundig ingenieur/bouwmeester		1889-02-18	Laren	11/23/1983	male
Piet Visser	1898				https://www.dbnl.org/auteurs/auteur.php?id=viss154	viss154	Piet	Visser	Piet Visser			1898			male
J. Eigenhuis	1866		16 oktober 1944		https://www.dbnl.org/auteurs/auteur.php?id=eige001	eige001	Jan	Eigenhuis	J. Eigenhuis	leraar/docent/hoogleraar	Aalsmeer	1866	Epe	10/16/1944	male
Dirk Coster	7 juli 1887		8 oktober 1956		https://www.dbnl.org/auteurs/auteur.php?id=cost006	cost006	Dirk	Coster	Dirk Coster	letterkundige (NIET-neerl.)/redacteur/journalist/vertaler	Delft	1887-07-07	Delft	10/8/1956	male
Herman Teirlinck	24 februari 1879		4 februari 1967		https://www.dbnl.org/auteurs/auteur.php?id=teir001	teir001	Herman	Teirlinck	Herman Louis Cesar  Teirlinck/Herman Teirlinck/Jan van Overeyde	ambtenaar/journalist/leraar/redacteur/hoogleraar/docent	Sint-Jans-Molenbeek	1879-02-24	Beersel	2/4/1967	male
Jan Campert	15 augustus 1902		12 januari 1943		https://www.dbnl.org/auteurs/auteur.php?id=camp014	camp014	Jan	Campert	Jan Campert	redacteur/journalist	Spijkenisse	8/15/1902		1/12/1943	male
Henriette Roland Holst-van der Schalk	24 december 1869		21 november 1952		https://www.dbnl.org/auteurs/auteur.php?id=rola003	rola003	Henriette	Roland Holst-van der Schalk	Henriette Roland Holst-van der Schalk		Noordwijk	1869-12-24	Amsterdam	11/21/1952	female
Jos. van der Kolk	1879		1930		https://www.dbnl.org/auteurs/auteur.php?id=kolk010	kolk010	Jos.	van der Kolk	Jos. van der Kolk	rk-geestelijke/kloosterling		1879		1930	male
C.A. Terburg	1892		1970		https://www.dbnl.org/auteurs/auteur.php?id=terb004	terb004	Casimirus (Cas)	Terburg	C.A. Terburg	rk-geestelijke/kloosterling/vertaler		1892		1970	male
H. Marsman	30 september 1899	Zeist	21 juni 1940	Het Kanaal	https://www.dbnl.org/auteurs/auteur.php?id=mars005	mars005	Hendrik	Marsman	H. Marsman	advocaat/jurist	Zeist	1899-09-30		6/21/1940	male
J.A. Dom Gregorius de Wit	9 juni 1892	Hilversum	1978	Visp	https://www.dbnl.org/auteurs/auteur.php?id=wit_033	wit_033	Johannes Aloysius	de Wit	Dom Gregorius de Wit/Gregorius de Wit/J.A. Dom Gregorius de Wit	rk-geestelijke/kloosterling	Hilversum	1892-06-09		1978	male
Jean Cocteau	5 juli 1889	Maisons-Laffitte	11 oktober 1963	Milly-la-Forêt	https://www.dbnl.org/auteurs/auteur.php?id=coct001	coct001	Jean Maurice Clément Eugène	Cocteau	Jean Cocteau			1889-07-05		10/11/1963	male
Wim Snitker	1901		1950		https://www.dbnl.org/auteurs/auteur.php?id=snit002	snit002	Willem	Snitker	Wim Snitker	redacteur/journalist		1901		1950	male
P.A. Kerstens	23 augustus 1896		8 oktober 1958		https://www.dbnl.org/auteurs/auteur.php?id=kers013	kers013	Pieter Adriaan (Piet)	Kerstens	P.A. Kerstens	onderwijzer (basisschool)/staatsman/bestuurder/politicus	Ginneken	1896-08-23	Den Haag	10/8/1958	male
Eliseus Bruning	25 november 1892	Geldrop	31 mei 1958	Nijmegen	https://www.dbnl.org/auteurs/auteur.php?id=brun007	brun007	Henricus	Bruning	Eliseus Bruning/Henricus Bruning	rk-geestelijke/kloosterling	Geldrop	1892-11-25	Nijmegen	5/31/1958	male
Willem ten Berge	3 juli 1903	Leens	12 mei 1969	Haarlem	https://www.dbnl.org/auteurs/auteur.php?id=berg028	berg028	Willem Gregorius Severinus	ten Berge	Willem ten Berge		Leens	7/3/1903	Haarlem	5/12/1969	male
Menno ter Braak	26 januari 1902	Eibergen	15 mei 1940	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=braa002	braa002	Menno	ter Braak	Menno ter Braak		Eibergen	1/26/1902	Den Haag	5/15/1940	male
Wouter Lutkie	23 februari 1887	Hertogenbosch	23 januari 1968	Nuland	https://www.dbnl.org/auteurs/auteur.php?id=lutk002	lutk002	Wouterus Leonardus (Wouter)	Lutkie	Wouter Lutkie	rk-geestelijke/kloosterling	Hertogenbosch	1887-02-23	Nuland	1/23/1968	male
Hendrik Andriessen	17 september 1892	Haarlem	12 april 1981	Haarlem	https://www.dbnl.org/auteurs/auteur.php?id=andr036	andr036	Hendrik Franciscus	Andriessen	Hendrik Andriessen	jongleur/musicus/minstreel	Haarlem	1892-09-17	Haarlem	4/12/1981	male
Kees Meekel	7 oktober 1883	Amstelveen	25 november 1953	Bachellerie	https://www.dbnl.org/auteurs/auteur.php?id=meek001	meek001	Kees	Meekel	Kees Meekel		Amstelveen	1883-10-07		11/25/1953	male
Pieter van der Meer de Walcheren	10 september 1880	Utrecht	16 december 1970	Breda	https://www.dbnl.org/auteurs/auteur.php?id=meer001	meer001	Petrus Matthias Balthazar Albertus	van der Meer de Walcheren	Pieter van der Meer de Walcheren	rk-geestelijke/kloosterling/redacteur/journalist	Utrecht	1880-09-10	Breda	12/16/1970	male
Herman de Man	11 juli 1898	Woerden	14 november 1946	Schiphol	https://www.dbnl.org/auteurs/auteur.php?id=man_002	man_002	Herman	de Man	Herman de Man/Salomon Herman Hamburger		Woerden	1898-07-11	Schiphol	11/14/1946	male
Michel de Ghelderode	3 april 1898	Elsene	1 april 1962	Schaarbeek	https://www.dbnl.org/auteurs/auteur.php?id=ghel002	ghel002	Michel	de Ghelderode	Michel de Ghelderode		Elsene	1898-04-03	Schaarbeek	4/1/1962	male
Willem Putman	7 juni 1900	Waregem	3 september 1954	Brugge	https://www.dbnl.org/auteurs/auteur.php?id=putm004	putm004	Willem	Putman	Jean du Parc/W. Hegeling/Willem Putman		Waregem	6/7/1900	Brugge	9/3/1954	male
To Hölscher	16 januari 1898	Helmond	9 december 1953	Helmond	https://www.dbnl.org/auteurs/auteur.php?id=hols006	hols006	Catharina Margaretha Clasina	Hölscher	To Hölscher	leraar/docent/hoogleraar	Helmond	1898-01-16	Helmond	12/9/1953	female
Jos. Panhuijsen	13 mei 1900	Tilburg	21 januari 1986	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=panh001	panh001	Josephus Lambertus Antonius	Panhuijsen	Jos. Panhuijsen	redacteur/journalist	Tilburg	5/13/1900	Amsterdam	1/21/1986	male
Pierre Kemp	1 december 1886	Maastricht	21 juli 1967	Maastricht	https://www.dbnl.org/auteurs/auteur.php?id=kemp005	kemp005	Petrus Johannes (Pierre)	Kemp	J. Umbo/Pierre Kemp/Rob Ree/W. Maasbrug/X.Y.Z.	illustrator/tekenaar/beeldend kunstenaar	Maastricht	1886-12-01	Maastricht	7/21/1967	male
Paul van Ostaijen	22 februari 1896	Antwerpen	18 maart 1928	Miavoye-Anthée	https://www.dbnl.org/auteurs/auteur.php?id=osta002	osta002	Paul	van Ostaijen	Paul van Ostaijen	redacteur/journalist	Antwerpen	1896-02-22		3/18/1928	male
Victor J. Brunclair	18 oktober 1899	Antwerpen	21 november 1944	Lagelund (Sleeswijk-Holstein)	https://www.dbnl.org/auteurs/auteur.php?id=brun005	brun005	Victor J.	Brunclair	Bardemeyer/Bonafied/David Angel/Victor J. Brunclair		Antwerpen	1899-10-18		11/21/1944	male
Anton van Duinkerken	2 januari 1903	Bergen op Zoom	27 juli 1968	Nijmegen	https://www.dbnl.org/auteurs/auteur.php?id=duin004	duin004	Anton	van Duinkerken	Anton van Duinkerken/Ch. André Leffens/Dom Muet/Pieter Bakx/W.J.M.A. Asselbergs/Wilhelmus Johannes Maria Antonius Asselbergs	journalist/leraar/redacteur/hoogleraar/docent	Bergen op Zoom	1/2/1903	Nijmegen	7/27/1968	male
Marie Koenen	19 januari 1879	's-Hertogenbosch	10 juli 1959	Maastricht	https://www.dbnl.org/auteurs/auteur.php?id=koen006	koen006	Marie	Koenen	Annie van Zuyden/Marie Koenen		Hertogenbosch	1879-01-19	Maastricht	7/10/1959	female
A. Roland Holst	23 mei 1888	Amsterdam	6 augustus 1976	Bergen	https://www.dbnl.org/auteurs/auteur.php?id=rola001	rola001	Adriaan (Jani)	Roland Holst	A. Roland Holst		Amsterdam	1888-05-23	Bergen	8/6/1976	male
N.A. Donkersloot	8 september 1902	Rotterdam	26 december 1965	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=donk007	donk007	N.A.	Donkersloot	Anthonie Donker/N.A. Donkersloot	vertaler	Rotterdam	9/8/1902	Amsterdam	12/26/1965	male
Roel Houwink	17 januari 1899	Breda	3 juni 1987	Zeist	https://www.dbnl.org/auteurs/auteur.php?id=houw008	houw008	Roelof Martinus Frederik	Houwink	H. van Elro/Roel Houwink	journalist/psychol/jurist/zielsverzorger/redacteur/ps.ther./advocaat	Breda	1899-01-17	Zeist	6/3/1987	male
Mathias Kemp	31 december 1890	Maastricht	7 augustus 1964	Maastricht	https://www.dbnl.org/auteurs/auteur.php?id=kemp004	kemp004	Mathias	Kemp	Eric/M. van Wijk/Mathias Kemp	boekhandelaar/uitgever/schilder/boekdrukker	Maastricht	1890-12-31	Maastricht	8/7/1964	male
J.C. van Schagen	11 december 1891	Vlissingen	17 april 1985	Deventer	https://www.dbnl.org/auteurs/auteur.php?id=scha027	scha027	Johan Christiaan Jacobus	van Schagen	J.C. van Schagen	illustrator/tekenaar/beeldend kunstenaar	Vlissingen	1891-12-11	Deventer	4/17/1985	male
Henrik Scholte	25 januari 1903	Groningen	28 mei 1988	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=scho012	scho012	Henrik	Scholte	Henrik Scholte	advocaat/jurist	Groningen	1/25/1903	Amsterdam	5/28/1988	male
A. den Doolaard	7 februari 1901	Zwolle	26 juni 1994	Hoenderloo	https://www.dbnl.org/auteurs/auteur.php?id=dool001	dool001	A.	den Doolaard	A. den Doolaard/C.J.G. Spoelstra/Cornelis Johannes George Spoelstra	redacteur/journalist	Zwolle	2/7/1901	Hoenderloo	6/26/1994	male
Martien Beversluis	28 maart 1894	Barendrecht	18 februari 1966	Vrouwenpolder	https://www.dbnl.org/auteurs/auteur.php?id=beve004	beve004	Martinus	Beversluis	Huib Wouters/M.B. Versluis/Martien Beversluis/Reinier Bloemert/Silvius Berckhout/Thea de Born	journalist/redacteur/staatsman/bestuurder/politicus	Barendrecht	1894-03-28	Vrouwenpolder	2/18/1966	male
J.J. ten Berge S.J.	14 december 1892	Leens	23 december 1978	Nijmegen	https://www.dbnl.org/auteurs/auteur.php?id=berg113	berg113	Joannes Josephus	ten Berge S.J.	J.J. ten Berge S.J.	rk-geestelijke/kloosterling/redacteur/journalist	Leens	1892-12-14	Nijmegen	12/23/1978	male
Erich Wichman	11 augustus 1890	Utrecht	1 januari 1929	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=wich002	wich002	Erich	Wichman	Erich Wichman	staatsman/schilder/bestuurder/politicus	Utrecht	1890-08-11	Amsterdam	1/1/1929	male
Blaise Cendrars	1 september 1887	La Chaux-de-Fonds	21 januari 1961	Parijs	https://www.dbnl.org/auteurs/auteur.php?id=cend001	cend001	Frédéric Louis	Cendrars	Blaise Cendrars/Frédéric Louis Sauser			1887-09-01		1/21/1961	male
H.W.E. Moller	8 november 1869	Amsterdam	6 december 1940	Tilburg	https://www.dbnl.org/auteurs/auteur.php?id=moll007	moll007	Hendrik Willem Evert	Moller	H.W.E. Moller/Hendrik Möller	staatsman/bestuurder/politicus	Amsterdam	1869-11-08	Tilburg	12/6/1940	male
Dop Bles	8 september 1883	Rotterdam	16 januari 1940	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=bles001	bles001	Adolf	Bles	A. Dolfers/Dop Bles/Ida de Wilde/J. Th. Ring/R. Brevier/R. de Buci/Ronselaar Brevier	boekhandelaar	Rotterdam	1883-09-08	Den Haag	1/16/1940	male
Hans van Zijl	1910		3 december 1963		https://www.dbnl.org/auteurs/auteur.php?id=zijl001	zijl001	Joanna Maria Jannetta	van Zijl	De Kat-van Zijl/Hans de Kat/Hans van Zijl			1910		12/3/1963	female
François Villon	1431	Frankrijk	ca. 1463		https://www.dbnl.org/auteurs/auteur.php?id=vill006	vill006	François	Villon	François Villon/François de Montcorbier			1431		ca. -14-3~	male
J. Wille	8 april 1881	Koudekerk a/d Rijn	16 april 1964	Oosterbeek	https://www.dbnl.org/auteurs/auteur.php?id=will006	will006	Jacobus	Wille	J. Wille		Koudekerk aan den Rijn	1881-04-08	Oosterbeek	4/16/1964	male
Henri Morel	28 november 1898	Nijmegen	3 november 1969	Heerlen	https://www.dbnl.org/auteurs/auteur.php?id=more012	more012	Hendrikus Stephanus Antonius Morel	Morel	Alex Campaert/Henri Morel	vertaler/redacteur/journalist	Nijmegen	1898-11-28	Heerlen	11/3/1969	male
J.H. Horemans					https://www.dbnl.org/auteurs/auteur.php?id=hore012	hore012	J.H.	Horemans	J.H. Horemans						male
Theo Vonck	1900		1974		https://www.dbnl.org/auteurs/auteur.php?id=vonc002	vonc002	Theo	Vonck	Flore Cuwart/Theo Vonck			1900		1974	male
Lambert Melissen	8 november 1909	Langeweg			https://www.dbnl.org/auteurs/auteur.php?id=meli008	meli008	Lambert Petrus Antonius	Melissen	Lambert Melissen/Paul van der Waeter	onderwijzer (basisschool)	Langeweg	11/8/1909			male
Gerard Wijdeveld	1905		1997		https://www.dbnl.org/auteurs/auteur.php?id=wijd001	wijd001	Gerard Egbert Antoon Maria	Wijdeveld	Gerard Wijdeveld			1905		1997	male
[tijdschrift] Dietsche Warande en Belfort					https://www.dbnl.org/auteurs/auteur.php?id=_die004	_die004		[tijdschrift] Dietsche Warande en Belfort	[tijdschrift] Dietsche Warande en Belfort						male
Mien Proost	21 februari 1902	Amsterdam	7 november 1987		https://www.dbnl.org/auteurs/auteur.php?id=proo004	proo004	Mien	Proost	H. Klomp/Mien Proost	redacteur/journalist	Amsterdam	2/21/1902		11/7/1987	female
Jacques Gans	7 december 1907	Hilversum	26 augustus 1972	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=gans001	gans001	Jacques	Gans	Jacques Gans	redacteur/journalist	Hilversum	12/7/1907	Amsterdam	8/26/1972	male
Theo Schlichting	14 januari 1894	Graft	14 september 1957	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=schl007	schl007	Theo Herman	Schlichting	Theo Schlichting	leraar/hoogleraar/docent/apotheker/medicus	Graft	1894-01-14	Amsterdam	9/14/1957	male
N. van Wijk	4 oktober 1880		25 maart 1941	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=wijk002	wijk002	Nicolaas	van Wijk	N. van Wijk	letterkundige (NIET-neerl.)	Delden	1880-10-04	Leiden	3/25/1941	male
Hendrik Wiegersma	7 oktober 1891		5 april 1969	Deurne	https://www.dbnl.org/auteurs/auteur.php?id=wieg004	wieg004	Hendrikus Josephus Maria (Hendrik)	Wiegersma	Hendrik Wiegersma	tekenaar/schilder/illustrator/apotheker/medicus/beeldend kunstenaar	Lith	1891-10-07	Deurne	4/5/1969	male
Theun de Vries	26 april 1907	Veenwouden	21 januari 2005	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=vrie049	vrie049	Theunis Uilke	de Vries	Ibn-Askari/Theun de Vries	redacteur/journalist	Veenwouden	4/26/1907	Amsterdam	1/21/2005	male
H.E.H. van Loon	1885	Rotterdam	1942		https://www.dbnl.org/auteurs/auteur.php?id=loon004	loon004	Hector Eli Henri	van Loon	H.E.H. van Loon		Rotterdam	1885		1942	male
J.F.M. Sterck	3 januari 1859	Amsterdam	28 augustus 1941	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=ster002	ster002	Johannes Franciscus Maria	Sterck	J.F.M. Sterck		Amsterdam	1859-01-03	Amsterdam	8/28/1941	male
J.C. Bloem	10 mei 1887	Oudshoorn	10 augustus 1966	Kalenberg	https://www.dbnl.org/auteurs/auteur.php?id=bloe001	bloe001	Jacobus Cornelis	Bloem	Ego Flos/Fey/J.C. Bloem/Jacques Bloem	advocaat/jurist	Oudshoorn	1887-05-10	Kalenberg	8/10/1966	male
Vic Reinders	7 augustus 1888	Maastricht	14 juni 1961	Maastricht	https://www.dbnl.org/auteurs/auteur.php?id=rein003	rein003	Mathieu Antoine Victor	Reinders	Vic Reinders	tekenaar/leraar/hoogleraar/illustrator/docent/beeldend kunstenaar	Maastricht	1888-08-07	Maastricht	6/14/1961	male
Jan H. Eekhout	10 januari 1900	Sluis	6 maart 1978	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=eekh004	eekh004	Jan Hendrik	Eekhout	E. van der Eerde/Jan H. Eekhout	vertaler/redacteur/journalist	Sluis	1/10/1900	Amsterdam	3/6/1978	male
Huub van der Grinten	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=grin002	grin002	Hubertus Franciscus Antonius Maria	van der Grinten	Huub van der Grinten			18xx			male
F.J.H. Lousberg	1891	Maastricht	1965	Maastricht	https://www.dbnl.org/auteurs/auteur.php?id=lous001	lous001	Franciscus Josephus Hubertus (Frans)	Lousberg	F.J.H. Lousberg	koopman/zakenman/indust.	Maastricht	1891	Maastricht	1965	male
Henri Borel	23 november 1869	Dordrecht	31 augustus 1933		https://www.dbnl.org/auteurs/auteur.php?id=bore002	bore002	Henri	Borel	Henri Borel/Henri Jean François Borel	redacteur/journalist/vertaler	Dordrecht	1869-11-23	Den Haag	8/31/1933	male
D.A.M. Binnendijk	12 oktober 1902	Leiden	1 juni 1984	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=binn004	binn004	Dirk Adrianus Michel	Binnendijk	D.A.M. Binnendijk/D.A.M.B./Dick Binnendijk/Dirk Nolting	ambtenaar/leraar/archeoloog/hoogleraar/docent/historicus	Leiden	10/12/1902	Amsterdam	6/1/1984	male
A. Viruly	5 januari 1905	Breda	1986		https://www.dbnl.org/auteurs/auteur.php?id=viru001	viru001	Adriaan	Viruly	A. Viruly	officier/militair	Breda	1/5/1905		1986	male
Jacques Schreurs	9 februari 1893	Sittard	31 januari 1966	Weert	https://www.dbnl.org/auteurs/auteur.php?id=schr014	schr014	Jacobus Hubertus	Schreurs	Jacques Schreurs	rk-geestelijke/kloosterling	Sittard	1893-02-09	Weert	1/31/1966	male
Gerrit Achterberg	20 mei 1905	Langbroek	17 januari 1962	Leusden	https://www.dbnl.org/auteurs/auteur.php?id=acht003	acht003	Gerrit	Achterberg	Gerrit Achterberg		Langbroek	5/20/1905	Leusden	1/17/1962	male
J.J. van Geuns	25 februari 1893	Zierikzee	6 maart 1959	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=geun001	geun001	Jan Jacob	van Geuns	J.J. van Geuns	advocaat/jurist	Zierikzee	1893-02-25	Amsterdam	3/6/1959	male
Halbo C. Kool	25 januari 1907	Groningen	30 mei 1968	Kortenhoef	https://www.dbnl.org/auteurs/auteur.php?id=kool003	kool003	Halbo C.	Kool	Halbo C. Kool	vertaler	Groningen	1/25/1907	Kortenhoef	5/30/1968	male
Emile Erens	27 april 1865	Schaesberg	16 april 1951	Heemstede	https://www.dbnl.org/auteurs/auteur.php?id=eren001	eren001	Emile	Erens	Emile Erens	agrariër	Schaesberg	1865-04-27	Heemstede	4/16/1951	male
Maurits Mok	7 november 1907	Haarlem	7 februari 1989	Bergen	https://www.dbnl.org/auteurs/auteur.php?id=mok_002	mok_002	Maurits	Mok	Maurits Mok		Haarlem	11/7/1907	Bergen	2/7/1989	male
Gabriël Smit	25 februari 1910	Utrecht	23 mei 1981	Laren (N.H.)	https://www.dbnl.org/auteurs/auteur.php?id=smit006	smit006	Gabriel Wijnand	Smit	Gabriël Smit		Utrecht	2/25/1910	Laren	5/23/1981	male
Joris Ivens	18 november 1898	Nijmegen	28 juni 1989	Parijs	https://www.dbnl.org/auteurs/auteur.php?id=iven003	iven003	Georg Henri Anton (Joris)	Ivens	Joris Ivens		Nijmegen	1898-11-18		6/28/1989	male
Luc Tournier	19 november 1907	Rotterdam	20 december 1980	Willemstad	https://www.dbnl.org/auteurs/auteur.php?id=tour003	tour003	Luc	Tournier	Chris Engels/Luc Tournier	apotheker/medicus	Rotterdam	11/19/1907		12/20/1980	male
Wilhelmus Nicolaï		Amsterdam			https://www.dbnl.org/auteurs/auteur.php?id=nico018	nico018	Wilhelmus	Nicolaï	Somerus/Wilhelmus Nicolaï	herv./leraar/geref. predikant			Amsterdam	1649	male
Jan van Gelder	1903		1980		https://www.dbnl.org/auteurs/auteur.php?id=geld021	geld021	Jan	van Gelder	Jan van Gelder	kunsthistoricus/kunsthandelaar		1903		1980	male
Chris de Graaff	13 september 1890		4 februari 1955		https://www.dbnl.org/auteurs/auteur.php?id=graa015	graa015	Christiaan Jacobus Julius	de Graaff	Chris de Graaff	redacteur/journalist	Hertogenbosch	1890-09-13	Amsterdam	2/4/1955	male
Oscar Leyendekkers	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=leye001	leye001	Oscar	Leyendekkers	Oscar Leyendekkers			18xx			male
A.J.D. van Oosten	12 november 1898	Delft	23 januari 1969	Rotterdam	https://www.dbnl.org/auteurs/auteur.php?id=oost003	oost003	Abraham Jan Daniël	van Oosten	A.J.D. van Oosten	schilder/redacteur/journalist	Delft	1898-11-12	Rotterdam	1/23/1969	male
L. Stolte	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=stol018	stol018	Lodewijk Alexander Maria (Lou)	Stolte	L. Stolte	apotheker/medicus		18xx			male
A.J.A. Etman	30 mei 1910	Den Haag			https://www.dbnl.org/auteurs/auteur.php?id=etma001	etma001	Arnoldus Josephus Antonius (Nol)	Etman	A.J.A. Etman/Man Arnet		Den Haag	5/30/1910			male
J.B. Stolte	1908		1984		https://www.dbnl.org/auteurs/auteur.php?id=stol019	stol019	Jacobus Bernardus	Stolte	J.B. Stolte			1908		1984	male
